	logFC	AveExpr	t	P.Value	FDR	B
WDR6	-0.162564934	10.09648993	0.938052799	0.377993431	0.731651117	-5.934989919
TAS2R60	-0.198915734	4.700309112	0.938033162	0.378002878	0.731651117	-5.935008037
PLCD1	-0.182930739	5.686264654	0.93787806	0.378077498	0.731651117	-5.935151124
IL24	-0.335424421	5.6195619	0.937705884	0.378160345	0.731651117	-5.93530994
C1orf147	0.321518062	6.458376654	-0.937705114	0.378160716	0.731651117	-5.93531065
RRM1	-0.164932848	11.83457411	0.937623914	0.378199792	0.731651117	-5.935385542
CGB3	0.396707027	6.279271791	-0.937595314	0.378213557	0.731651117	-5.935411919
MALSU1	-0.155081175	12.33469264	0.937531963	0.378244046	0.731651117	-5.935470344
EPB42	-0.306516117	5.239772798	0.937479951	0.37826908	0.731651117	-5.935518308
CENPK	-0.211952474	9.522549335	0.937414314	0.378300674	0.731651117	-5.935578835
TSG101	-0.190975493	11.99208658	0.937356237	0.37832863	0.731651117	-5.935632388
ORC5	-0.14216321	11.44317132	0.937133466	0.378435878	0.731651117	-5.93583778
NR3C2	-0.301887883	5.472175774	0.937109416	0.378447458	0.731651117	-5.935859951
TMPRSS7	0.447971198	5.718468446	-0.937109196	0.378447564	0.731651117	-5.935860154
APOBR	0.330657032	6.143975202	-0.936944526	0.378526857	0.731651117	-5.93601195
PIGW	0.155478747	7.805111117	-0.936906385	0.378545225	0.731651117	-5.936047106
STOM	0.167912647	11.97436122	-0.936809084	0.378592086	0.731651117	-5.936136788
XCL2	-0.312751413	5.802259762	0.936729421	0.378630456	0.731651117	-5.936210207
ZCCHC24	-0.34313305	7.334246686	0.936624484	0.378681003	0.731651117	-5.936306912
LINC01126	0.299090325	5.148771808	-0.936577177	0.378703791	0.731651117	-5.936350505
PDLIM1	0.137907767	11.47689938	-0.936441033	0.378769381	0.731651117	-5.936475951
DCAF13	0.165226084	11.72329489	-0.936375323	0.378801041	0.731651117	-5.936536493
GPR87	-0.33441392	5.412804422	0.936321962	0.378826753	0.731651117	-5.936585654
FXYD7	0.26495098	5.278101312	-0.936318903	0.378828226	0.731651117	-5.936588472
RAB22A	-0.140005018	9.580877043	0.93629969	0.378837484	0.731651117	-5.936606172
TXNDC11	0.154714773	9.911755744	-0.93598194	0.378990619	0.731651117	-5.936898865
TBXAS1	-0.146478593	9.574779537	0.935833729	0.379062063	0.731651117	-5.937035362
SLCO4A1-AS1	-0.246316949	5.429338222	0.935607771	0.379171004	0.731651117	-5.937243428
MED28	-0.235496109	7.916830267	0.935591966	0.379178625	0.731651117	-5.93725798
LRRCC1	-0.28314949	7.734878743	0.935586383	0.379181316	0.731651117	-5.93726312
TMEM31	0.193554646	5.392800888	-0.935538904	0.379204211	0.731651117	-5.937306834
COG6	-0.191444849	6.047800229	0.935460143	0.379242192	0.731651117	-5.937379345
CDK5	-0.145083797	10.86046344	0.935362799	0.379289138	0.731651117	-5.937468958
WHAMMP3	-0.237035608	7.443452298	0.935323021	0.379308323	0.731651117	-5.937505575
KCNA3	0.186479591	4.852938329	-0.935251221	0.379342954	0.731651117	-5.937571665
BTF3L4	-0.191935042	9.905216306	0.935212593	0.379361586	0.731651117	-5.93760722
RSC1A1	-0.136919391	9.287379519	0.935200993	0.379367182	0.731651117	-5.937617898
REST	0.152640177	7.88248135	-0.935131612	0.379400649	0.731651117	-5.937681755
MLC1	-0.463262675	5.129097051	0.935094947	0.379418337	0.731651117	-5.9377155
ZNF354C	0.377055948	12.13667962	-0.935003577	0.379462417	0.731651117	-5.937799588
OLIG1	-0.200129852	4.712673405	0.934988442	0.379469719	0.731651117	-5.937813516
SDHB	-0.153845562	11.44776972	0.934967109	0.379480012	0.731651117	-5.937833148
HTR3A	0.265992226	5.616767016	-0.934450208	0.379729463	0.731993476	-5.938308717
ZHX1-C8orf76	0.247762374	8.396125191	-0.934441899	0.379733474	0.731993476	-5.93831636
FUCA2	0.150893567	12.60632281	-0.934034706	0.379930069	0.732267557	-5.938690847
RFPL4B	-0.246007837	4.732893856	0.933986403	0.379953395	0.732267557	-5.938735261
PXDNL	-0.397405175	5.552172738	0.933911557	0.379989541	0.732267557	-5.938804078
HYLS1	-0.16067859	10.92541704	0.933774181	0.380055892	0.732322262	-5.938930378
CIP2A	0.179863149	8.246062124	-0.93348401	0.380196069	0.732419324	-5.939197106
KIR2DL4	0.299432645	6.113934316	-0.933382728	0.380245007	0.732419324	-5.939290191
ACTN3	-0.496106355	5.438112791	0.933376843	0.38024785	0.732419324	-5.939295599
HCFC1R1	-0.184029306	8.781585466	0.933355547	0.380258141	0.732419324	-5.93931517
ZNF404	-0.29639038	5.440941119	0.933019	0.38042079	0.732472576	-5.939624413
OR4K14	-0.160008348	4.974258766	0.932965578	0.380446612	0.732472576	-5.939673492
RPP14	-0.142589959	9.074523648	0.932941024	0.380458482	0.732472576	-5.93969605
LIN28B	0.226824253	4.941370212	-0.932932209	0.380462743	0.732472576	-5.939704149
LINC00671	-0.183693734	5.207994841	0.932905517	0.380475646	0.732472576	-5.939728669
UPF3A	-0.171630703	9.740349954	0.932771329	0.380540519	0.73252436	-5.939851934
NICN1	0.214118638	7.422266952	-0.932595939	0.380625323	0.732614497	-5.940013027
CLCN1	0.214880931	4.963580294	-0.932350946	0.380743806	0.732769431	-5.940238009
VAMP3	-0.141864279	10.66016368	0.931976861	0.380924772	0.732889062	-5.940581449
CPZ	-0.39844463	6.002046593	0.931969728	0.380928223	0.732889062	-5.940587997
IL17RA	-0.231659227	7.952330698	0.93184054	0.380990734	0.732889062	-5.940706576
RPLP1	-0.147349129	13.14404855	0.931813642	0.38100375	0.732889062	-5.940731264
TMEM241	-0.13762674	10.27984224	0.93180963	0.381005692	0.732889062	-5.940734946
KRT84	0.262435295	5.112843811	-0.931554023	0.381129399	0.732889062	-5.940969519
TOP1	0.204973947	10.42135657	-0.931543923	0.381134288	0.732889062	-5.940978786
BEX1	-0.420404096	5.250222091	0.931444946	0.3811822	0.732889062	-5.941069605
CCR1	0.193023854	5.613862464	-0.931441148	0.381184038	0.732889062	-5.94107309
SLC23A1	-0.436357735	6.551701267	0.931395373	0.381206197	0.732889062	-5.941115088
TRAF1	-0.238374014	7.033943405	0.931315758	0.381244741	0.732889062	-5.941188132
ACTR3C	0.297587885	8.400700197	-0.931280351	0.381261884	0.732889062	-5.941220615
ELOVL4	-0.241904545	5.043778628	0.931200263	0.381300661	0.732890569	-5.941294085
CFAP53	-0.267328336	5.721998492	0.931074657	0.381361483	0.732901115	-5.941409302
POGLUT3	0.258146285	10.36361763	-0.931032009	0.381382135	0.732901115	-5.94144842
BMP1	-0.18906344	10.75880366	0.930522224	0.381629071	0.733181794	-5.941915899
MYCNOS	-0.325768274	6.042019264	0.930476484	0.381651233	0.733181794	-5.941957833
STARD13	-0.331510853	5.831327334	0.930468059	0.381655315	0.733181794	-5.941965557
NR1D2	0.224551416	7.615874669	-0.930322576	0.381725812	0.733181794	-5.942098924
RNF39	-0.286260496	5.72175798	0.930297663	0.381737884	0.733181794	-5.942121761
IL34	0.327944636	5.413232552	-0.93024166	0.381765025	0.733181794	-5.942173095
NUDT17	-0.187453332	8.161576052	0.930181354	0.381794252	0.733181794	-5.942228369
TFAP2B	-0.287554862	5.808063088	0.929996445	0.381883879	0.73328091	-5.942397835
CDH4	0.23618121	5.790579015	-0.929675239	0.382039607	0.733499425	-5.942692151
TMEFF2	-0.28917967	5.768332871	0.929568508	0.382091363	0.733499425	-5.94278993
ATG4A	-0.284224773	9.647897633	0.929338848	0.382202748	0.733499425	-5.943000296
RFX8	-0.277249024	5.062799939	0.929331309	0.382206405	0.733499425	-5.943007202
COL10A1	-0.331842984	5.104059979	0.929253714	0.382244044	0.733499425	-5.943078268
E4F1	0.310097632	7.455349681	-0.929250809	0.382245453	0.733499425	-5.943080929
CTDSP1	-0.146526692	10.02848329	0.929212879	0.382263853	0.733499425	-5.943115665
NEK11	-0.439601171	7.431896406	0.929091209	0.382322879	0.73353972	-5.943227086
GPR4	-0.31433901	5.280577667	0.928861571	0.382434304	0.733680529	-5.943437348
ALOX12P2	0.217136216	7.926860579	-0.928761736	0.382482753	0.733700508	-5.943528746
SHC1	0.156450509	11.88701316	-0.928618259	0.382552389	0.733761121	-5.943660085
RABEP2	0.270435124	7.643621966	-0.927814642	0.382942598	0.734436539	-5.944395423
PCDH7	0.178420622	9.779558002	-0.927623015	0.383035689	0.734542046	-5.944570695
LRP12	-0.196530278	9.665863355	0.927309132	0.383188207	0.734654436	-5.944857727
NDUFS2	-0.161637016	12.35121808	0.92729614	0.383194522	0.734654436	-5.944869606
H3C8	0.320239976	5.476614256	-0.927267274	0.38320855	0.734654436	-5.944895999
NCAPD3	0.221028685	11.34634792	-0.927083924	0.383297666	0.734714984	-5.945063622
MGAT1	-0.139810937	11.71348798	0.927013612	0.383331845	0.734714984	-5.945127897
SPTLC3	0.202302433	6.037215399	-0.926938973	0.383368129	0.734714984	-5.945196123
CEP55	-0.135177991	12.7511317	0.926888875	0.383392485	0.734714984	-5.945241914
SNHG14	0.320970755	6.046420257	-0.926573051	0.383546053	0.734750107	-5.945530541
RNF19A	0.186164005	9.491518758	-0.926530456	0.383566768	0.734750107	-5.945569462
SINHCAF	-0.141084355	10.22418298	0.92649587	0.383583589	0.734750107	-5.945601064
GIMAP4	-0.389035828	5.422153561	0.926457389	0.383602305	0.734750107	-5.945636224
OR5M1	0.195288415	5.036321418	-0.92641156	0.383624595	0.734750107	-5.945678096
SDHAF3	-0.165811487	8.249904159	0.926381224	0.383639351	0.734750107	-5.945705812
PRIM2	-0.176751737	9.117764223	0.926248797	0.383703768	0.734800524	-5.945826792
HSPBP1	-0.194161855	8.601149836	0.926126369	0.383763329	0.734841633	-5.945938627
HAUS2	0.156895492	8.515337755	-0.92600694	0.383821437	0.734879952	-5.94604771
C5orf46	-0.556184541	6.055015892	0.925675242	0.383982859	0.735035727	-5.946350616
TOMM20L	0.309742914	5.414204363	-0.925520252	0.384058303	0.735035727	-5.946492123
KLK14	0.245829413	6.371463591	-0.925469432	0.384083043	0.735035727	-5.946538519
OR5A1	0.402098185	5.152274125	-0.925437739	0.384098472	0.735035727	-5.946567451
CDYL	0.157958094	9.652386365	-0.925429755	0.384102359	0.735035727	-5.946574739
FBXL14	0.184507697	5.452756977	-0.925370056	0.384131424	0.735035727	-5.946629236
GPRASP2	0.221193125	7.782980659	-0.925249571	0.384190088	0.735052802	-5.946739213
C19orf54	-0.192510186	9.201424354	0.925103205	0.384261362	0.735052802	-5.946872799
SUPT3H	0.220545179	5.75011228	-0.925068651	0.38427819	0.735052802	-5.946904334
CAND1	0.181945923	10.06058264	-0.925038716	0.384292769	0.735052802	-5.946931652
ABCC11	0.142323824	5.338601288	-0.92474287	0.384436872	0.735255528	-5.9472016
PRPSAP1	-0.163216298	11.75468713	0.924317043	0.384644358	0.735516398	-5.947590032
NOA1	-0.140493499	11.22388938	0.924306432	0.38464953	0.735516398	-5.947599709
RYK	-0.186509927	12.35700932	0.924166167	0.384717894	0.735551324	-5.947727625
SERPINB11	-0.230139021	5.216683837	0.924100907	0.384749703	0.735551324	-5.947787133
EEFSEC	0.212710436	7.981763499	-0.924034267	0.384782188	0.735551324	-5.947847897
ARSG	-0.302135346	5.68056445	0.923698999	0.384945652	0.735744383	-5.948153551
C16orf78	-0.274818811	5.175897975	0.923648391	0.38497033	0.735744383	-5.948199682
PCDH10	0.172067963	5.641996823	-0.923592462	0.384997605	0.735744383	-5.948250659
DICER1-AS1	0.288878252	5.160089674	-0.923345384	0.385118116	0.735898023	-5.948475837
CCR2	0.358269456	5.418934135	-0.923201209	0.385188449	0.735898023	-5.94860721
SPI1	0.26656746	5.39788014	-0.923193009	0.385192449	0.735898023	-5.948614681
EPPK1	0.360196595	6.161731051	-0.923065641	0.385254592	0.735943857	-5.948730726
SERPINB2	0.348393295	5.239348461	-0.922956407	0.385307892	0.735972794	-5.948830238
LBX2	0.275732846	6.479783896	-0.922806732	0.385380936	0.73603943	-5.948966578
PCDHA4	-0.275693844	5.050421588	0.922658305	0.38545338	0.736093064	-5.949101764
CGNL1	-0.374386453	5.948825718	0.922592837	0.385485336	0.736093064	-5.949161386
CLEC4D	0.473146715	5.603411885	-0.922213713	0.385670436	0.736373623	-5.949506591
SREBF1	-0.273352401	7.371481466	0.92192155	0.385813124	0.736486105	-5.94977254
OR56A3	0.249455939	4.99277213	-0.921880887	0.385832986	0.736486105	-5.949809548
TRAT1	-0.281041196	4.792232992	0.921850763	0.385847701	0.736486105	-5.949836964
ZNF592	0.205911112	9.878284211	-0.921687439	0.385927488	0.736486105	-5.949985596
FBXL8	-0.171911648	5.511913789	0.921656453	0.385942627	0.736486105	-5.950013793
BCCIP	0.182110858	11.10756283	-0.921624117	0.385958426	0.736486105	-5.950043217
ORAI1	-0.149921064	9.703064175	0.921320047	0.386107011	0.736696761	-5.950319862
TMEM129	-0.612382476	6.896608296	0.921106374	0.38621145	0.736796155	-5.950514221
NLN	0.159182385	10.3108935	-0.921057183	0.386235496	0.736796155	-5.950558961
GBE1	0.165654858	11.45229022	-0.920830784	0.386346183	0.7368713	-5.950764848
ESCO2	-0.194246731	7.993326815	0.920820344	0.386351287	0.7368713	-5.950774341
AASDHPPT	0.133622628	9.256589298	-0.920555808	0.38648065	0.736902032	-5.951014858
PI4KAP1	0.143971372	9.584180695	-0.920555325	0.386480886	0.736902032	-5.951015296
WDR53	-0.208848472	11.09754983	0.920475829	0.386519767	0.736902032	-5.951087564
MICU3	0.222526735	5.292422956	-0.920445065	0.386534814	0.736902032	-5.951115529
BAIAP2L1	-0.133965671	12.67417185	0.920326568	0.386592778	0.736902032	-5.951223239
PCDHGA7	0.390743005	5.334151946	-0.920144671	0.386681766	0.736902032	-5.951388556
KRTAP20-2	0.469398629	8.104169778	-0.920142233	0.386682959	0.736902032	-5.951390772
KIAA0895	-0.293853999	7.450984767	0.920115738	0.386695922	0.736902032	-5.951414849
TUFM	0.149166206	12.58970626	-0.92008449	0.386711211	0.736902032	-5.951443245
POLR1H	0.197957139	8.801859284	-0.91989323	0.386804802	0.736947802	-5.951617035
NR1H2	-0.230320451	9.413111296	0.919750283	0.386874763	0.736947802	-5.951746907
DUSP19	0.183443036	5.448630285	-0.919718071	0.386890529	0.736947802	-5.95177617
GRHL2	-0.255030279	5.673429576	0.919603022	0.386946844	0.736947802	-5.951880681
CCDC180	-0.191426782	5.17889235	0.919581761	0.386957252	0.736947802	-5.951899993
TRIM68	0.158668227	10.56401706	-0.919473777	0.387010115	0.736947802	-5.951998075
C1GALT1	0.269570046	8.345792911	-0.919458076	0.387017802	0.736947802	-5.952012336
SERP2	0.210926549	4.876845177	-0.919401679	0.387045413	0.736947802	-5.952063556
SCGB1D2	0.166796117	5.714339067	-0.919332953	0.387079063	0.736947802	-5.952125972
CLDN5	-0.288134661	5.104786753	0.919226124	0.387131374	0.736974657	-5.952222984
DDX19A	0.16185259	8.888137279	-0.919125997	0.387180407	0.736995268	-5.952313902
FRRS1L	-0.18598672	5.026489085	0.91902977	0.387227534	0.737012249	-5.952401271
CCL26	-0.150540922	9.901184623	0.91894447	0.387269314	0.737019048	-5.952478713
C4B	-0.400201837	6.272731609	0.918858359	0.387311494	0.737026608	-5.952556885
OR1L6	-0.165328589	5.676542901	0.918746388	0.387366347	0.737058278	-5.952658525
LOC100128002	-0.347254665	5.701128907	0.918161367	0.387653032	0.737463087	-5.953189411
RGS1	-0.279330456	5.36466568	0.918156213	0.387655558	0.737463087	-5.953194086
ADGRE5	0.154233328	10.34440804	-0.9180591	0.387703162	0.737480919	-5.953282187
CHCHD1	0.328471367	7.931009265	-0.917840899	0.387810141	0.737546975	-5.953480111
DSN1	-0.150695806	11.70141384	0.917832297	0.387814358	0.737546975	-5.953487912
PRMT8	-0.167099835	5.170245314	0.917594254	0.38793109	0.737624645	-5.95370379
PRH2	0.326973127	6.92611773	-0.917570976	0.387942506	0.737624645	-5.953724899
ARHGAP27P1	0.199334248	5.963937949	-0.917470358	0.387991856	0.737624645	-5.953816132
FAM209B	-0.147976181	5.441608098	0.917437134	0.388008153	0.737624645	-5.953846257
ASXL1	-0.197530666	8.885256574	0.91730095	0.388074956	0.737678943	-5.953969723
NGRN	0.133507638	11.8265924	-0.917147082	0.388150445	0.737749737	-5.954109205
NDC80	-0.205895396	9.43250602	0.916763102	0.388338875	0.738020516	-5.954457205
ZNF681	0.427794327	9.894220267	-0.916700856	0.388369427	0.738020516	-5.954513607
RPL24	-0.183046967	12.78815392	0.916555123	0.388440965	0.738083748	-5.954645648
SHROOM3	0.131353987	9.155224181	-0.916271945	0.388579998	0.738108128	-5.954902171
PEDS1	0.151634048	11.03839272	-0.916192436	0.388619042	0.738108128	-5.954974185
ATG7	0.153397097	10.31237017	-0.916162371	0.388633807	0.738108128	-5.955001415
C18orf25	-0.20596693	9.205030529	0.916102425	0.388663246	0.738108128	-5.955055704
MIER2	-0.282813982	6.376692597	0.916054428	0.38868682	0.738108128	-5.955099172
ZFP1	-0.379832899	5.928463694	0.91603425	0.38869673	0.738108128	-5.955117444
KRTAP10-1	0.250288799	5.0934242	-0.91598353	0.388721642	0.738108128	-5.955163375
ARHGAP18	0.182474647	9.74417713	-0.9157992	0.388812188	0.738177149	-5.955330279
NDC1	0.137044924	10.33981651	-0.915753729	0.388834526	0.738177149	-5.955371448
DLGAP1	0.243353683	5.524931461	-0.915385951	0.389015239	0.73843616	-5.955704366
CACNA1H	0.156090579	11.25424739	-0.91520003	0.389106618	0.73843616	-5.955872624
NTS	0.224293329	4.867286187	-0.915178047	0.389117423	0.73843616	-5.955892517
PTK6	-0.217486728	6.700759353	0.915122484	0.389144735	0.73843616	-5.955942795
ZNF385D	-0.294671671	5.504793663	0.915086623	0.389162364	0.73843616	-5.955975245
TSC2	-0.167111763	9.519806608	0.91482976	0.389288649	0.738531097	-5.956207638
PROP1	-0.24774521	5.250733825	0.914829112	0.389288968	0.738531097	-5.956208224
CHRNA6	-0.265179479	4.857382073	0.914562188	0.389420232	0.738689912	-5.956449666
ABHD11	0.137781554	10.74534198	-0.91443817	0.389481231	0.738689912	-5.956561825
CGGBP1	0.219427868	8.916429446	-0.914350158	0.389524524	0.738689912	-5.956641415
NLRP12	0.221881572	6.01360855	-0.914347449	0.389525857	0.738689912	-5.956643864
ELOVL2	0.197624648	5.007473096	-0.914018314	0.389687792	0.738924359	-5.956941446
CNOT6	-0.218976134	8.854443369	0.913663091	0.389862618	0.739183202	-5.95726252
TMEM81	0.330500655	8.509827824	-0.913496429	0.389944662	0.739233032	-5.957413126
ALAS1	0.138833381	12.50602821	-0.913442982	0.389970975	0.739233032	-5.957461419
ZNF83	-0.273600973	5.301828775	0.913376179	0.390003865	0.739233032	-5.957521777
BUB1B	0.14969291	9.873687925	-0.913207192	0.390087076	0.739318108	-5.957674446
CCBE1	0.306010501	5.172410196	-0.912881439	0.390247517	0.739431866	-5.957968681
INO80	-0.136526362	10.45452743	0.912872314	0.390252012	0.739431866	-5.957976922
SLC6A12	-0.213233984	4.852785141	0.912777646	0.390298648	0.739431866	-5.958062414
FBXO44	-0.157924786	8.842786052	0.912774032	0.390300428	0.739431866	-5.958065677
PRMT6	-0.196217317	8.754158144	0.912689828	0.390341913	0.739437838	-5.958141714
APBB3	-0.203395626	6.760395837	0.912126611	0.390619474	0.739857549	-5.958650155
PDCL	-0.164095228	11.34021305	0.912041594	0.390661385	0.739857549	-5.958726883
SEPHS1	0.130034452	12.24858687	-0.912006801	0.390678538	0.739857549	-5.958758282
HSFY2	-0.404174726	5.162612401	0.911864662	0.390748616	0.739917621	-5.958886544
SLC4A7	0.434679791	7.171219182	-0.911738772	0.390810692	0.73996253	-5.959000131
COX6A2	-0.29781813	5.396425702	0.911532373	0.390912482	0.740063916	-5.959186332
NKAIN3	0.20962062	5.211478157	-0.911472606	0.390941961	0.740063916	-5.959240244
GLRX5	0.143692194	11.01929106	-0.911215971	0.39106856	0.740063916	-5.959471707
MCM10	0.168485117	11.13518219	-0.911204545	0.391074197	0.740063916	-5.959482011
CDKN2A	0.146230607	9.670036744	-0.911154239	0.391099017	0.740063916	-5.959527376
ADAM12	0.25821043	6.124995974	-0.910951311	0.391199149	0.740063916	-5.959710353
APOBEC2	-0.329996743	5.444145554	0.910875563	0.39123653	0.740063916	-5.959778646
GNAT2	-0.260513732	5.303793927	0.910788424	0.391279537	0.740063916	-5.959857203
LINC00336	-0.389583095	5.182629979	0.910759948	0.391293592	0.740063916	-5.959882873
PDHA1	0.139527496	11.90499222	-0.910720502	0.391313061	0.740063916	-5.959918431
DIMT1	0.207541173	8.791284566	-0.910682294	0.391331921	0.740063916	-5.959952872
SLC2A13	0.335459366	6.917326885	-0.910620841	0.391362255	0.740063916	-5.960008265
SEMA5A	-0.297020788	5.472169702	0.91061936	0.391362986	0.740063916	-5.960009599
MAGEB4	-0.272316211	5.258783425	0.910407923	0.391467369	0.740135581	-5.96020016
IL18	-0.196926981	9.228971202	0.910323343	0.391509131	0.740135581	-5.960276378
CLHC1	-0.452748221	6.337532719	0.910214829	0.391562715	0.740135581	-5.960374157
LINC02878	0.321244093	5.242502964	-0.910169141	0.391585277	0.740135581	-5.960415323
PRMT3	0.173446429	10.04072816	-0.910154051	0.391592729	0.740135581	-5.960428918
MRNIP	-0.167417358	13.07909128	0.909111399	0.392107892	0.741000179	-5.961367903
FKBP9P1	-0.155339425	12.1626432	0.909072745	0.392127	0.741000179	-5.961402697
TMSB4XP2	0.172721397	14.19210942	-0.90896954	0.392178021	0.741024001	-5.961495592
HEATR3	0.146167262	10.16935418	-0.908859088	0.39223263	0.741049415	-5.961594999
PAQR8	0.167563039	8.735153471	-0.908762317	0.39228048	0.741049415	-5.961682087
LRRC52	-0.186091534	6.482626756	0.90861436	0.392353648	0.741049415	-5.961815223
CKM	0.915725187	8.019162925	-0.908593656	0.392363888	0.741049415	-5.961833851
GIMAP7	-0.28109201	5.078127004	0.908470355	0.392424872	0.741049415	-5.961944787
EI24	-0.133483667	12.9569772	0.90840361	0.392457886	0.741049415	-5.962004833
CASZ1	-0.464947468	5.765429026	0.908398559	0.392460385	0.741049415	-5.962009377
OR10R2	0.184526732	4.885387168	-0.908163357	0.392576741	0.741196568	-5.962220944
CLDN14	-0.192595259	5.565598688	0.908073859	0.392621024	0.741207628	-5.962301438
CDC42BPG	0.285201077	5.434702331	-0.907891338	0.392711343	0.741305589	-5.962465575
CDHR1	0.185497324	5.309774922	-0.907779486	0.3927667	0.741337538	-5.962566148
WDR70	-0.165344296	9.73636223	0.907165631	0.393070608	0.74183857	-5.963117929
GPR22	-0.271822018	6.107393522	0.907058991	0.39312342	0.741840014	-5.963213755
ARHGEF37	0.258334607	5.882056041	-0.907006769	0.393149285	0.741840014	-5.963260678
SEMA6A	-0.2055279	6.092828299	0.906774828	0.393264176	0.741840014	-5.96346906
PBX1	0.373257616	5.857112671	-0.90675939	0.393271825	0.741840014	-5.963482928
SSNA1	-0.156130703	9.903123591	0.906716323	0.39329316	0.741840014	-5.963521615
FBXO6	0.342201063	6.89842682	-0.906636354	0.393332781	0.741840014	-5.963593447
LRRC43	0.450480607	5.804961654	-0.906536709	0.393382154	0.741840014	-5.963682947
RARRES2	-0.272941303	5.18309364	0.906526245	0.393387338	0.741840014	-5.963692345
SKIDA1	-0.196219259	4.898750207	0.90635294	0.39347322	0.741840014	-5.963847984
SPANXN1	0.389554818	7.693267844	-0.906211538	0.393543303	0.741840014	-5.963974955
PLEKHJ1	0.154509777	9.296141772	-0.906180992	0.393558444	0.741840014	-5.964002382
TFF3	-0.198528593	5.747528046	0.90607926	0.393608872	0.741840014	-5.964093719
TAB3	-0.173266588	9.196337931	0.906028625	0.393633973	0.741840014	-5.964139178
ERH	0.16756091	12.25932835	-0.90598059	0.393657787	0.741840014	-5.9641823
PROSER1	-0.166831466	11.70833807	0.905895755	0.393699846	0.741840014	-5.964258454
AMELY	0.184323775	5.322558628	-0.905890959	0.393702224	0.741840014	-5.964262759
CYC1	0.137365323	12.32482073	-0.90584473	0.393725146	0.741840014	-5.964304256
ARL4D	0.296837391	7.664204767	-0.90551771	0.393887316	0.742034525	-5.964597747
GALNT15	-0.423904039	5.332158092	0.905481419	0.393905315	0.742034525	-5.964630312
APOC3	0.362867726	5.099956707	-0.905375393	0.393957906	0.742061128	-5.964725446
CFHR3	0.198864325	10.1254773	-0.905203914	0.394042974	0.742148893	-5.96487929
SPATA31A7	-0.211314274	5.354970106	0.905047515	0.394120572	0.742202901	-5.965019586
VPS26B	-0.160361101	7.936879978	0.904991028	0.394148601	0.742202901	-5.965070252
NANOS3	-0.39551817	5.724924389	0.904873951	0.394206701	0.742215356	-5.965175257
PDCL3	0.182413057	11.51544435	-0.904822632	0.394232169	0.742215356	-5.96522128
FBXO48	0.262171821	5.153783024	-0.904643816	0.394320922	0.742310002	-5.965381629
RRM2	0.150739113	10.06850422	-0.904480659	0.394401916	0.742390023	-5.965527914
KRTAP10-2	0.260581609	5.364388379	-0.904226358	0.394528179	0.742458903	-5.965755877
FAM221B	-0.367497952	5.458839364	0.904151489	0.394565358	0.742458903	-5.965822982
MIR600HG	-0.202817822	6.176813634	0.904003375	0.394638917	0.742458903	-5.965955722
CAP1	0.147119122	12.73844916	-0.903913821	0.394683398	0.742458903	-5.966035974
PANK2	-0.133757098	8.951032059	0.903902643	0.394688951	0.742458903	-5.96604599
HSF1	0.179416371	12.01993474	-0.903862763	0.39470876	0.742458903	-5.966081725
DXO	-0.140852821	7.599857699	0.903718346	0.394780502	0.742458903	-5.96621112
LSM7	-0.186032357	9.036669293	0.903672008	0.394803523	0.742458903	-5.966252635
ZNF454	-0.188885742	5.206754719	0.903555485	0.394861418	0.742458903	-5.966357021
MTIF2	-0.158539361	11.10917497	0.903555115	0.394861602	0.742458903	-5.966357353
KCNV1	0.355281627	5.250798082	-0.903490201	0.394893857	0.742458903	-5.966415501
ZNF658	-0.298084768	5.685956239	0.903477073	0.394900381	0.742458903	-5.966427261
ABCC5	0.201399297	10.16693852	-0.903388119	0.394944585	0.742469647	-5.966506937
DKK2	-0.211120878	5.602173373	0.903290312	0.394993193	0.742488666	-5.966594536
PPP1R2C	-0.237687847	5.095713018	0.903144973	0.395065431	0.742540017	-5.966724691
CLEC20A	-0.17744222	4.992240837	0.90304182	0.395116707	0.742540017	-5.966817058
KRTAP4-12	0.238431273	5.356392395	-0.903003028	0.395135992	0.742540017	-5.966851792
LRCH3	-0.157702395	9.687976439	0.902754344	0.395259634	0.742700014	-5.96707443
FBXW2	0.14612516	10.50167107	-0.902490004	0.395391093	0.742874664	-5.967311032
EPGN	-0.204816125	5.037951431	0.901492418	0.395887488	0.743636217	-5.968203439
NCOA4	-0.136523655	11.5838015	0.901387847	0.395939548	0.743636217	-5.968296939
MARCHF10	-0.182073452	4.80964875	0.901376342	0.395945276	0.743636217	-5.968307226
ZNF555	-0.278240245	5.414741596	0.901184027	0.396041034	0.743636217	-5.968479157
NR5A1	0.271644108	5.096717921	-0.901178168	0.396043951	0.743636217	-5.968484394
LINC02908	0.174068636	5.131786933	-0.90112811	0.39606888	0.743636217	-5.968529142
ECD	0.172072951	8.91180925	-0.901105842	0.396079969	0.743636217	-5.968549046
RNF25	0.198446737	10.63403992	-0.901055851	0.396104865	0.743636217	-5.968593731
UBE4B	-0.138915384	10.5335915	0.900967154	0.39614904	0.743636217	-5.968673008
CHM	-0.233039611	8.597993483	0.900827281	0.396218711	0.743636217	-5.968798013
CRABP2	0.151751882	13.15350376	-0.900775413	0.396244548	0.743636217	-5.968844364
PRRC1	-0.170279549	11.36476763	0.900640948	0.396311537	0.743636217	-5.968964515
ZNF565	0.214359722	6.462794477	-0.900420454	0.396421402	0.743636217	-5.969161508
